barcode;name;brand;category
7790895000072;Gaseosa Fanta pomelo retornable 2 lts;Fanta;BEBIDAS
7790895000225;Gaseosa lima limón Sprite retornable 2 lts;Sprite;BEBIDAS
7790895000256;Gaseosa Fanta Naranja 354 ml;Fanta;BEBIDAS
7790895000270;Gaseosa lima limón Sprite 354 ml;Sprite;BEBIDAS
7790895000331;Gaseosa Fanta naranja retornable 2 lts;Fanta;BEBIDAS
7790895000454;Gaseosa Fanta naranja 1,5 lts;Fanta;BEBIDAS
7790895000829;Gaseosa lima limón Sprite 500 ml;Sprite;BEBIDAS
7790895000836;Gaseosa Fanta naranja 500 ml;Fanta;BEBIDAS
7790895001000;Gaseosa lima limón Sprite 2,25 lts;Sprite;BEBIDAS
7790895001017;Gaseosa Fanta naranja 2,25 lts;Fanta;BEBIDAS
7790895001031;Gaseosa Fanta limón 2,25 lts;Fanta;BEBIDAS
7790895001048;Gaseosa Fanta limón 500 ml;Fanta;BEBIDAS
7790895002304;Gaseosa Fanta Zero naranja 1,5 lts;Fanta;BEBIDAS
7790895002335;Gaseosa Fanta Zero naranja 500 ml;Fanta;BEBIDAS
7790895002601;Gaseosa Fanta Zero naranja 2,25 lts;Fanta;BEBIDAS
7790895002755;Gaseosa lima limón Sprite en lata 310 ml;Sprite;BEBIDAS
7790895003202;Gaseosa tónica Scweppes 310 ml;Schweppes;BEBIDAS
7790895003288;Agua saborizada de pomelo Aquarius 2,25 lts;Aquarius;BEBIDAS
7790895003295;Agua saborizada de pera Aquarius 2,25 lts;Aquarius;BEBIDAS
7790895003301;Agua Saborizada Aquarius Manzana 2,25 lts;Aquarius;BEBIDAS
7790895003318;Agua saborizada de uva Aquarius sin gas 2,25 lts;Aquarius;BEBIDAS
7790895003325;Agua saborizada Aquarius Naranja 2,25 lts;Aquarius;BEBIDAS
7790895004032;Agua saborizada Aquarius pomelo rosado 500 ml;Aquarius;BEBIDAS
7790895004049;Agua saborizada de pomelo rosado Aquarius 1,5 lts;Aquarius;BEBIDAS
7790895004308;Gaseosa Fanta Zero naranja 354 ml;Fanta;BEBIDAS
7790895004667;Gaseosa tónica Schweppes 2,25 lts;Schweppes;BEBIDAS
7790895004971;Agua saborizada Aquarius pomelo rosado 2,25 lts;Aquarius;BEBIDAS
7790895005015;Gaseosa lima limón Sprite 1 lt;Sprite;BEBIDAS
7790895006029;Bebida isotónica Powerade Mountain Blast 995 ml;Powerade;BEBIDAS
7790895006036;Bebida isotónica Powerade Manzana 995 ml;Powerade;BEBIDAS
7790895006098;Bebida isotónica Powerade de naranja pet 995 ml;Powerade;BEBIDAS
7790895006104;Bebida Isotónica Powerade Frutas Tropicales 995 ml;Powerade;BEBIDAS
7790895006111;Gaseosa lima limón Sprite regular retornable 1.25 lt.;Sprite;BEBIDAS
7790895006128;Gaseosa de naranja Fanta regular retornable 1.25 lt.;Fanta;BEBIDAS
7790895006715;Gaseosa tónica Schweppes 1,5 lts;Schweppes;BEBIDAS
7790895006722;Gaseosa citrus Schweppes 1,5 lts;Schweppes;BEBIDAS
7790895006821;Gaseosa tónica Schweppes 354 ml;Schweppes;BEBIDAS
7790895007248;Gaseosa Sprite Lima-Limón 1,75 lts;Sprite;BEBIDAS
7790895007255;Gaseosa naranja Fanta 1,75 lts;Fanta;BEBIDAS
7790895007439;Gaseosa lima limón Sprite 600 ml;Sprite;BEBIDAS
7790895008481;Agua saborizada limonada Aquarius 500 ml;Aquarius;BEBIDAS
7790895008498;Agua saborizada limonada Aquarius 1,5 lts;Aquarius;BEBIDAS
7790895008504;Agua saborizada limonada Aquarius 2,25 lts;Aquarius;BEBIDAS
7790895009204;Agua saborizada Aquarius pera 600 ml;Aquarius;BEBIDAS
7790895009211;Agua saborizada Aquarius manzana 600 ml;Aquarius;BEBIDAS
7790895009228;Agua saborizada Aquarius pomelo 600 ml;Aquarius;BEBIDAS
7790895009242;Agua saborizada Aquarius pomelo rosado 600 ml;Aquarius;BEBIDAS
7790895009259;Agua saborizada Aquarius Uva 600 ml;Aquarius;BEBIDAS
7790895010064;Gaseosa pomelo Schweppes sin azúcares 500 ml;Schweppes;BEBIDAS
7790895010088;Gaseosa Schweppes Zero pomelo 1,5 lts;Schweppes;BEBIDAS
7790895010095;Gaseosa pomelo Schweppes Zero 2,25 lts;Schweppes;BEBIDAS
7790895010101;Gaseosa pomelo Schweppes sin azúcar 354 ml;Schweppes;BEBIDAS
7790895010675;Agua saborizada citrus Aquarius levemente gasificada 500 ml;Aquarius;BEBIDAS
7790895010705;Agua saborizada citrus Aquarius levemente gasificada 2,25 lts;Aquarius;BEBIDAS
7790895010774;Agua saborizada limonada Aquarius levemente gasificada 1,5 lts;Aquarius;BEBIDAS
7790895010781;Agua saborizada limonada Aquarius levemente gasificada 2,25 lts;Aquarius;BEBIDAS
7790895011221;Bebida Isotónica Powerade Mountain Blast 1,5 lts;Powerade;BEBIDAS
7790895011245;Bebida Isotónica Powerade Manzana 1,5 lts;Powerade;BEBIDAS
7790895011269;Bebida isotónica Powerade Frutas Tropicales 1,5 lts;Powerade;BEBIDAS
7790895011467;Gaseosa Fanta Zero naranja 3 lts;Fanta;BEBIDAS
7790895011726;Agua saborizada de manzana Aquarius sin azúcares 1,5 lts;Aquarius;BEBIDAS
7790895011733;Agua saborizada de naranja Aquarius cero sin gas 1,5 lts;Aquarius;BEBIDAS
7790895011764;Agua saborizada de pomelo Aquarius sin azúcares 2,25 lts;Aquarius;BEBIDAS
7790895011771;Agua saborizada de manzana Aquarius sin azúcares 2,25 lts;Aquarius;BEBIDAS
7790895011788;Agua saborizada de naranja Aquarius cero sin gas 2,25 lts;Aquarius;BEBIDAS
7790895012310;Gaseosa Fanta Zero naranja 1,75 lts;Fanta;BEBIDAS
7790895012327;Gaseosa lima limón Sprite Zero 1,75 lts;Sprite;BEBIDAS
7790895012358;Gaseosa Sprite Lima-Limón 1,25 lts;Sprite;BEBIDAS
7790895012471;Gaseosa lima limón Sprite regular pet 375 ml;Sprite;BEBIDAS
7790895062957;Gaseosa lima limón Sprit regular botella de vidrio 237 ml;Sprite;BEBIDAS
7790895063022;Gaseosa Sprite lima limón regular botella vidrio retornable 1 lts.;Sprite;BEBIDAS
7790895063091;Gaseosa naranja Fanta 600 ml;Fanta;BEBIDAS
7790895064128;Gaseosa lima limón Sprite regular pet 3 lts;Sprite;BEBIDAS
7790895064142;Gaseosa lima limón Sprite Zero 500 ml;Sprite;BEBIDAS
7790895064166;Gaseosa lima limón Sprite Zero 2,25 lts;Sprite;BEBIDAS
7790895064173;Gaseosa lima limón Sprite sin azúcares 1,5 lts;Sprite;BEBIDAS
7790895064364;Gaseosa lima limón Sprite Zero 354 ml;Sprite;BEBIDAS
7790895067594;Gaseosa Coca-Cola Zero 237 ml;Genérico;BEBIDAS
7790895067716;Gaseosa Fanta naranja vidrio retornable 1 lt;Fanta;BEBIDAS
7790895640018;Bebida Isotónica Powerade Manzana 500 ml;Powerade;BEBIDAS
7790895640025;Bebida Isotónica Powerade Mountain Blast 500 ml;Powerade;BEBIDAS
7790895640032;Bebida isotónica Powerade Naranja 500 ml;Powerade;BEBIDAS
7790895640445;Agua saborizada Aquarius pera 500 ml;Aquarius;BEBIDAS
7790895640452;Agua saborizada de manzana Aquarius 500 ml;Aquarius;BEBIDAS
7790895640469;Agua saborizada de pomelo Aquarius 500 ml;Aquarius;BEBIDAS
7790895640476;Agua saborizada de pera Aquarius 1,5 lts;Aquarius;BEBIDAS
7790895640483;Agua Saborizada Aquarius Manzana 1,5 lts;Aquarius;BEBIDAS
7790895640490;Agua saborizada de pomelo Aquarius 1,5 lts;Aquarius;BEBIDAS
7790895641183;Bebida Isotónica Powerade Frutas Tropicales 500 ml;Powerade;BEBIDAS
7790895641206;Agua saborizada Aquarius uva 500 ml;Aquarius;BEBIDAS
7790895641213;Agua saborizada de naranja Aquarius 500 ml;Aquarius;BEBIDAS
7790895641220;Agua saborizada de uva Aquarius sin gas 1,5 lts;Aquarius;BEBIDAS
7790895641237;Agua saborizada de naranja Aquarius 1,5 lts;Aquarius;BEBIDAS
7790895641602;Gaseosa naranja Fanta Zero con vitamina C en lata 310 ml;Fanta;BEBIDAS
7790895642432;Gaseosa Fanta naranja 220 ml;Fanta;BEBIDAS
7790895642449;Gaseosa naranja Fanta sin azúcar 220 ml;Fanta;BEBIDAS
7790895642456;Gaseosa lima limón Sprite mini lata 220 ml;Sprite;BEBIDAS
7790895642494;Gaseosa pomelo Schweppes sin azúcar en lata 220 ml;Schweppes;BEBIDAS
7790895642982;Gaseosa naranja Fanta sin azúcar pet 1,5 lts;Fanta;BEBIDAS
7790895643194;Agua saborizada de pomelo Aquarius sin gas 375 ml;Aquarius;BEBIDAS
7790895643231;Agua saborizada de pera Aquarius sin gas 375 ml;Aquarius;BEBIDAS
7790895643255;Agua saborizada de naranja Aquarius sin gas 375 ml;Aquarius;BEBIDAS
7790895643668;Gaseosa Fanta Zero naranja 2,5 lts;Fanta;BEBIDAS
7790895643903;Gaseosa pomelo Schweppes Zero 310 ml;Schweppes;BEBIDAS
7790895645730;Agua saborizada Aquarius levemente gasificada limonada 310 cc.;Aquarius;BEBIDAS
7790895646621;Agua saborizada de pomelo Aquarius retornable 2 lts;Aquarius;BEBIDAS
7790895646638;Agua saborizada de pera Aquarius retornable 2 lts;Aquarius;BEBIDAS
7790895647277;Gaseosa Fanta Misterio 500 ml;Fanta;BEBIDAS
7790895647895;Gaseosa Fanta pomelo 1,75 lts;Fanta;BEBIDAS
7790895647925;Gaseosa Fanta pomelo 2,5 lts;Fanta;BEBIDAS
7790895647963;Gaseosa Fanta manzana 2,50 lts;Fanta;BEBIDAS
7790895647987;Gaseosa tónica Schweppes sin azúcar 354 ml;Schweppes;BEBIDAS
7790895648014;Gaseosa Schweppes Zero agua tónica 1,5 lts;Schweppes;BEBIDAS
7790895648366;Gaseosa Fanta limón dulce 2,5 lts;Fanta;BEBIDAS
7790895648571;Gaseosa tónica Schweppes sin azúcar en lata 310 ml;Genérico;BEBIDAS
7790895648595;Bebida isotónica Powerade Mundial Tropical Mango 500 ml;Powerade;BEBIDAS
7790895648687;Bebida Isotónica Powerade Uva 500 ml;Powerade;BEBIDAS
7790895649615;Isotónica Powerade gold rush kiwi ana pet 500 cc.;Powerade;BEBIDAS
7790895649745;Agua saborizada sin gas Aquarius de pomelo rosado 375 cc.;Aquarius;BEBIDAS
7790895649752;Agua saborizada Aquarius sin gas de pomelo rosado 375 ml;Aquarius;BEBIDAS
7790895650468;Gaseosa Sprite Lima-Limón Ice 473 ml;Sprite;BEBIDAS
7790895650598;Gaseosa lima limón Sprite en botella de vidrio 237 ml;Sprite;BEBIDAS
7790895650840;Gaseosa Coca-Cola Zero 600 ml;Coca Cola;BEBIDAS
7790895650864;Gaseosa Coca-Cola sabor liviano 600 ml;Coca Cola;BEBIDAS
7790895650871;Gaseosa Sprite Lima-Limón 600 ml;Sprite;BEBIDAS
7790895650888;Gaseosa Fanta Naranja 600 ml;Fanta;BEBIDAS
7790895650895;Gaseosa Sprite Zero Lima-Limón 600 ml;Sprite;BEBIDAS
7790895651083;Bebida isotónica Powerade pet 995 ml;Powerade;BEBIDAS
7790895651144;Agua saborizada Aquarius de ananá y jengibre 600 ml;Aquarius;BEBIDAS
7790895651151;Agua saborizada Aquarius de ananá y jengibre 1.5 lts;Aquarius;BEBIDAS
7790895651267;Gaseosa de naranja Fanta en botella de vidrio 237 ml;Fanta;BEBIDAS
7790895651441;Gaseosa carmesí Fanta en lata 354 ml;Fanta;BEBIDAS
7790895651489;Bebida isotónica Powerade Cool Citrus pet 500 ml;Powerade;BEBIDAS
