barcode;name;brand;category;reference;arcor_code;arcor_desc;confidence
7790580160807;ACEITE BOTELLA ARCOR ACEITE DE MAÍZ 12 X 900 Ml.;ARCOR;ALIMENTOS;1001608;1001608;ACEITE BOTELLA ARCOR ACEITE DE MAÍZ 12 X 900 Ml.;arcor-catalog
7790580160807;ACEITE MAIZ x900cc;ARCOR;ALIMENTOS;1608;1001608;ACEITE BOTELLA ARCOR ACEITE DE MAÍZ 12 X 900 Ml.;alta
;AGRUP.ALF.BONoBON 6x40g.;ARCOR;;6139;;;sin-match
7790580113469;AGRUPADO AGUILA 12 X 8 X 48 Cc.;ARCOR;HELADOS;1011346;1011346;AGRUPADO AGUILA 12 X 8 X 48 Cc.;arcor-catalog
7790580121914;AGRUPADO CINDOR 12 X 6 X 50 Cc.;ARCOR;HELADOS;1012191;1012191;AGRUPADO CINDOR 12 X 6 X 50 Cc.;arcor-catalog
7790580127589;AGRUPADO COFLER 12 X 4 X 50 Cc.;ARCOR;HELADOS;1012758;1012758;AGRUPADO COFLER 12 X 4 X 50 Cc.;arcor-catalog
7790580127565;AGRUPADO MR POP'S 12 X 6 X 40 Cc.;ARCOR;HELADOS;1012756;1012756;AGRUPADO MR POP'S 12 X 6 X 40 Cc.;arcor-catalog
7790580127572;AGRUPADO PALITO BOMBÓN HELADO 12 X 6 X 40 Cc.;ARCOR;HELADOS;1012757;1012757;AGRUPADO PALITO BOMBÓN HELADO 12 X 6 X 40 Cc.;arcor-catalog
7790580126292;AGUIL 70% CACAO x 150g;ARCOR;CHOCOLATES;12903;1012903;CHOCOLATE AGUILA EXTRAFINO AGUILA 70% CACAO 4 X 15 X 150 Gr.;alta
;AGUILA 80% CACAO x150g;ARCOR;;14347;;;sin-match
;AGUILA FAMILIAR x 100Gr.;ARCOR;;3101;;;sin-match
;AGUILA NARANJITAS x100g;ARCOR;;14348;;;sin-match
7790580122287;AGUILA PREMEZCLAS BROWNIE AGUILA 12 X 425 Gr.;ARCOR;ALIMENTOS;1012228;1012228;AGUILA PREMEZCLAS BROWNIE AGUILA 12 X 425 Gr.;arcor-catalog
7790580127732;AGUILA PREMEZCLAS CHOCOLATE 12 X 540 Gr.;ARCOR;ALIMENTOS;1012773;1012773;AGUILA PREMEZCLAS CHOCOLATE 12 X 540 Gr.;arcor-catalog
7790580127756;AGUILA PREMEZCLAS MARMOLADO 12 X 560 Gr.;ARCOR;ALIMENTOS;1012775;1012775;AGUILA PREMEZCLAS MARMOLADO 12 X 560 Gr.;arcor-catalog
7790580122300;AGUILA PREMEZCLAS TORTA AGUILA 12 X 450 Gr.;ARCOR;ALIMENTOS;1012230;1012230;AGUILA PREMEZCLAS TORTA AGUILA 12 X 450 Gr.;arcor-catalog
7790580127749;AGUILA PREMEZCLAS VAINILLA 12 X 540 Gr.;ARCOR;ALIMENTOS;1012774;1012774;AGUILA PREMEZCLAS VAINILLA 12 X 540 Gr.;arcor-catalog
;ALF AGUILA DORADO x50g;ARCOR;;14120;;;sin-match
;ALF. AGUILA MINI BLANCO 20x24g;ARCOR;;12422;;;sin-match
;ALF. BON O BON BCO x40g;ARCOR;;4305;;;sin-match
;ALF. BON O BON LECHE x40g;ARCOR;;4303;;;sin-match
;ALF. BON O BON TRIPLE x60Gr.;ARCOR;;14884;;;sin-match
;ALF. BON O BON TRIPLE x60Gr.;ARCOR;;6140;;;sin-match
;ALF. COFLER BLOCK TRIPLE x60g.;ARCOR;;6596;;;sin-match
;ALF. COFLER BLOCK x40.7g;ARCOR;;14365;;;sin-match
;ALF. COFLER MOUSSE x40g;ARCOR;;14364;;;sin-match
;ALF. MINI BON O BON x6u;ARCOR;;12976;;;sin-match
;ALF. MINI TOFI GLASE 6x22g.;ARCOR;;11665;;;sin-match
;ALF. MINI TOFI NEGRO 6x22g;ARCOR;;11664;;;sin-match
;ALF. MINI TORTA AGUILA x69g;ARCOR;;13358;;;sin-match
;ALF. TATIN BCO x33g;ARCOR;;3313;;;sin-match
;ALF. TATIN NEGRO x33grs;ARCOR;;3312;;;sin-match
;ALF. TOFI 3 BCO x73g;ARCOR;;9537;;;sin-match
;ALF. TOFI 3 NEGRO x73g;ARCOR;;4848;;;sin-match
;ALF. TOFI GLASE x44g.;ARCOR;;11663;;;sin-match
;ALF. TOFI NEGRO x46g.;ARCOR;;11661;;;sin-match
;ALF.COFLER BLOCK 6x40g;ARCOR;;14363;;;sin-match
;ALF.MINI TORTA BLANCO x69g;ARCOR;;13357;;;sin-match
;ALF.MINI TORTA BWNIE x71G;ARCOR;;13359;;;sin-match
;ALF.MINI TORTA COCO x70g.;ARCOR;;13360;;;sin-match
;ALF.TATIN TRIPLE BCO.x60g.;ARCOR;;4053;;;sin-match
;ALF.TATIN TRIPLE NEGRO x60g.;ARCOR;;4056;;;sin-match
;ALFAJOR AGUILA DORADO x50g.;ARCOR;;15147;;;sin-match
;ARCOA x180G.;ARCOR;;13187;;;sin-match
;ARCOA x360G.;ARCOR;;13188;;;sin-match
;ARCOR MILK AGRUP X4;ARCOR;;13346;;;sin-match
7790580130022;ARCOR TRES CREMAS 8U X 1 Kg.;ARCOR;HELADOS;1013020;1013020;ARCOR TRES CREMAS 8U X 1 Kg.;arcor-catalog
7790580982102;ARVEJAS ARCOR 24 X 300 Gr.;ARCOR;ALIMENTOS;1009821;1009821;ARVEJAS ARCOR 24 X 300 Gr.;arcor-catalog
;ARVEJAS SECAS REMOJADAS x300g;ARCOR;;13239;;;sin-match
;AVE MARIA ARCOR x500g;ARCOR;;14463;;;sin-match
7790580127534;AZUCAR COMUN TIPO A 10X1K;ARCOR;AGROINDUSTRIA;12753;1012753;AZÚCAR COMÚN TIPO A 10 X 1 Kg.;alta
7790580127541;AZUCAR MASCABO X500G;ARCOR;AGROINDUSTRIA;12754;1012754;AZÚCAR MASCABO 500 Gr.;alta
7790580127534;AZÚCAR COMÚN TIPO A 10 X 1 Kg.;ARCOR;AGROINDUSTRIA;1012753;1012753;AZÚCAR COMÚN TIPO A 10 X 1 Kg.;arcor-catalog
7790580127541;AZÚCAR MASCABO 500 Gr.;ARCOR;AGROINDUSTRIA;1012754;1012754;AZÚCAR MASCABO 500 Gr.;arcor-catalog
;B.TOFFEES CHOC x80g.;ARCOR;;15210;;;sin-match
;B.TOFFEES LECHE x80g.;ARCOR;;15209;;;sin-match
;B.TOFFEES STDO. x80g.;ARCOR;;15211;;;sin-match
;BARRA CEREAL FRUT. SECOS x4u.;ARCOR;;15174;;;sin-match
;BARRA CEREAL MIX P.CHOCO x4u.;ARCOR;;15175;;;sin-match
;BARRA CHOCOLINAS X40G;ARCOR;;13337;;;sin-match
;BARRA CMIX ORIGINAL X 6U.;ARCOR;;14635;;;sin-match
;BARRA CMIX YOG/FRU. X6U;ARCOR;;14636;;;sin-match
;BARRA COFL MANI X40G;ARCOR;;13339;;;sin-match
;BARRA COFLER BLOCK x45g.;ARCOR;;14450;;;sin-match
7790580124168;BARRA DE ARROZ ARCOR 6 X 20 X 16 Gr.;ARCOR;CHOCOLATES;1012416;1012416;BARRA DE ARROZ ARCOR 6 X 20 X 16 Gr.;arcor-catalog
;BARRA NBREAK CHOCOLATE x38g;ARCOR;;14669;;;sin-match
;BARRA NBREAK FRUTOS SECOS x33g;ARCOR;;14668;;;sin-match
;BARRA RAPTOR CACAO x45g;ARCOR;;12869;;;sin-match
;BARRA RAPTOR COOK/CREAM x45g;ARCOR;;13864;;;sin-match
;BARRA RAPTOR MANI x45g;ARCOR;;13865;;;sin-match
;BARRA ROCKLETS x44g;ARCOR;;12907;;;sin-match
;BARRA SIMPLE CHOCOLATE x30g;ARCOR;;13343;;;sin-match
;BARRA SIMPLE COOKIES x45g;ARCOR;;13862;;;sin-match
;BARRA SIMPLE LIMON x30g;ARCOR;;13344;;;sin-match
;BARRA SIMPLE MANI x45g;ARCOR;;13863;;;sin-match
;BARRA SIMPLE SURTIDO;ARCOR;;14010;;;sin-match
7790580124304;BARRAS COOKIES & CREAM 6 X 16 X 45 Gr.;ARCOR;NUTRICIÓN;1012580;1012580;BARRAS COOKIES & CREAM 6 X 16 X 45 Gr.;arcor-catalog
7790580126759;BARRAS ORIGINAL 6 X 16 X 45 Gr.;ARCOR;NUTRICIÓN;1012675;1012675;BARRAS ORIGINAL 6 X 16 X 45 Gr.;arcor-catalog
7790580315405;BARRITA AGUILA 24x14g.;ARCOR;CHOCOLATES;6408;1006408;CHOCOLATE TAZA AGUILA BARRITA AGUILA 24 X 24 X 14 Gr.;alta
7790580130282;BARRITA AGUILA SA. 40 U X 34 Gr.;ARCOR;HELADOS;1013028;1013028;BARRITA AGUILA SA. 40 U X 34 Gr.;arcor-catalog
7790580116019;BARRITA CACAO AGUILA 24x14gr;ARCOR;CHOCOLATES;11601;1011601;EXTRAFINO BARRITA AGUILA 60% CACAO 24 X 24 X 12 Gr.;alta
;BARRITA NARAN.AGUILA 24x14g.;ARCOR;;15024;;;sin-match
7790580118969;BARRITAS BAÑADAS BARRITA AGUILA 40 X 49 Cc.;ARCOR;HELADOS;1011896;1011896;BARRITAS BAÑADAS BARRITA AGUILA 40 X 49 Cc.;arcor-catalog
7790580504410;BATATA ESTUCHE x 500Gr.;ARCOR;ALIMENTOS;5044;1005044;DULCE BATATA ARCOR ESTUCHE 12 X 500 Gr.;alta
7790580173708;BATATA LATA C/CHOC.x5Kg.;ARCOR;ALIMENTOS;6747;1006747;DULCE BATATA ARCOR CON CHOCOLATE LATA 2 X 5 Kg.;alta
7790580502300;BATATA LATA x5 Kg.;ARCOR;ALIMENTOS;6815;1006815;DULCE BATATA ARCOR LATA 2 X 5 Kg.;alta
7790580504809;BATATA VAIN.C/CHOCOL.x500g.;ARCOR;ALIMENTOS;5048;1005048;DULCE BATATA ARCOR CON CHOCOLATE ESTUCHE 12 X 500 Gr.;alta
7790580501204;BATATA VAIN.CAJON x 5Kg.;ARCOR;ALIMENTOS;5012;1005012;DULCE BATATA ARCOR CAJÓN 5 Kg.;alta
7790580501105;BATATA c/CH.CAJON x 5Kg.;ARCOR;ALIMENTOS;5011;1005011;DULCE BATATA ARCOR CON CHOCOLATE CAJÓN 5 Kg.;alta
;BAÑO REPOST. BLANCO POUCH x150g.;ARCOR;;13333;;;sin-match
;BAÑO REPOST. CELESTE POUCH x150g.;ARCOR;;13436;;;sin-match
;BAÑO REPOST. LECHE POUCH x150g.;ARCOR;;13331;;;sin-match
;BAÑO REPOST. ROSA POUCH x150g;ARCOR;;13435;;;sin-match
;BAÑO REPOST. S/AMA POUCH x150g.;ARCOR;;13332;;;sin-match
